InvoiceNo,InvoiceDate,CustomerID,TotalPrice
536365,2010-12-01,17850,139.12
536366,2010-12-01,17850,22.200000000000003
536367,2010-12-01,13047,278.73
536368,2010-12-01,13047,70.05000000000001
536369,2010-12-01,13047,17.85
536370,2010-12-01,12583,855.86
536371,2010-12-01,13748,204.0
536372,2010-12-01,17850,22.200000000000003
536373,2010-12-01,17850,259.86
536374,2010-12-01,15100,350.4
536375,2010-12-01,17850,259.86
536376,2010-12-01,15291,328.8
536377,2010-12-01,17850,22.200000000000003
536378,2010-12-01,14688,444.98
536380,2010-12-01,17809,34.8
536381,2010-12-01,15311,449.9800000000001
536382,2010-12-01,16098,430.59999999999997
536384,2010-12-01,18074,489.6
536385,2010-12-01,17420,130.85
536386,2010-12-01,16029,508.20000000000005
536387,2010-12-01,16029,3193.92
536388,2010-12-01,16250,226.14
536389,2010-12-01,12431,358.25
536390,2010-12-01,17511,1825.74
536392,2010-12-01,13705,318.14000000000004
536393,2010-12-01,13747,79.6
536394,2010-12-01,13408,1024.6800000000003
536395,2010-12-01,13767,507.88000000000005
536396,2010-12-01,17850,376.36
536397,2010-12-01,17924,279.0
536398,2010-12-01,13448,426.56000000000006
536399,2010-12-01,17850,22.200000000000003
536400,2010-12-01,13448,17.4
536401,2010-12-01,15862,354.22999999999996
536402,2010-12-01,15513,357.0
536403,2010-12-01,12791,192.60000000000002
536404,2010-12-01,16218,471.30000000000007
536405,2010-12-01,14045,326.4
536406,2010-12-01,17850,353.14
536407,2010-12-01,17850,22.200000000000003
536408,2010-12-01,14307,783.1099999999999
536409,2010-12-01,17908,243.27999999999997
536412,2010-12-01,17920,514.41
536415,2010-12-01,12838,390.78999999999996
536416,2010-12-01,13255,225.7
536420,2010-12-01,16583,233.45000000000002
536423,2010-12-01,18085,303.90000000000003
536425,2010-12-01,13758,362.44999999999993
536437,2010-12-01,13694,842.12
536446,2010-12-01,15983,440.89
536460,2010-12-01,14849,295.53999999999996
536463,2010-12-01,14849,17.4
536464,2010-12-01,17968,277.35
536466,2010-12-01,14849,42.9
536477,2010-12-01,16210,2474.7399999999993
536488,2010-12-01,17897,165.88999999999996
536500,2010-12-01,17377,223.89999999999998
536502,2010-12-01,16552,95.29
536508,2010-12-01,17181,155.52
536514,2010-12-01,17951,295.50000000000006
536520,2010-12-01,14729,313.49000000000007
536521,2010-12-01,12748,4.95
536522,2010-12-01,15012,191.05999999999997
536523,2010-12-01,12868,203.29999999999998
536524,2010-12-01,17572,70.80000000000001
536525,2010-12-01,14078,136.24
536526,2010-12-01,14001,301.24
536527,2010-12-01,12662,261.48
536528,2010-12-01,15525,313.93
536529,2010-12-01,14237,161.00000000000003
536530,2010-12-01,17905,201.74999999999994
536531,2010-12-01,15485,950.0899999999999
536532,2010-12-01,12433,1919.1399999999999
536533,2010-12-01,16955,156.09999999999997
536534,2010-12-01,15350,115.65
536535,2010-12-01,15605,194.85000000000002
536536,2010-12-01,18144,165.04999999999998
536537,2010-12-01,15922,369.50000000000006
536538,2010-12-01,14594,254.99999999999997
536539,2010-12-01,15165,487.75
536540,2010-12-01,14911,540.3799999999999
536541,2010-12-01,14911,15.0
536542,2010-12-01,16456,787.4
536551,2010-12-01,17346,146.60999999999999
536556,2010-12-01,17643,101.55
536557,2010-12-01,17841,537.3800000000001
536559,2010-12-01,17873,215.14999999999998
536560,2010-12-01,13093,799.4
536561,2010-12-01,12921,322.4
536562,2010-12-01,13468,308.65000000000003
536563,2010-12-01,17760,172.54
536564,2010-12-01,13468,51.4
536566,2010-12-01,16928,116.25
536567,2010-12-01,16048,251.40000000000003
536568,2010-12-01,16048,5.04
536569,2010-12-01,16274,357.94999999999993
536570,2010-12-01,14496,304.34000000000003
536571,2010-12-01,14696,294.61999999999995
536572,2010-12-01,16539,442.35
536573,2010-12-01,17025,143.12
536574,2010-12-01,17025,17.85
536575,2010-12-01,13777,1552.98
536576,2010-12-01,13777,2558.42
536577,2010-12-01,13777,497.0
536578,2010-12-01,17690,279.6
536579,2010-12-01,13777,315.96000000000004
536580,2010-12-01,17690,97.2
536581,2010-12-01,13777,330.0
536582,2010-12-01,12947,304.03999999999996
536583,2010-12-01,13777,198.0
536584,2010-12-01,13777,1132.8000000000002
536585,2010-12-01,17460,19.9
536586,2010-12-01,18229,344.2
536587,2010-12-01,14142,311.81
536588,2010-12-01,17069,277.05
536590,2010-12-01,13065,205.85999999999999
536591,2010-12-01,14606,198.32
536593,2010-12-01,16835,81.75
536594,2010-12-01,15235,79.5
536595,2010-12-01,13576,349.15
536597,2010-12-01,18011,102.79
536598,2010-12-02,13090,160.6
536599,2010-12-02,15694,306.4
536600,2010-12-02,17850,251.62
536601,2010-12-02,17850,22.200000000000003
536602,2010-12-02,17850,163.76000000000002
536603,2010-12-02,17850,22.200000000000003
536604,2010-12-02,14741,184.5
536605,2010-12-02,13715,272.65
536607,2010-12-02,17732,303.96999999999997
536608,2010-12-02,12855,38.1
536609,2010-12-02,17850,244.45999999999998
536610,2010-12-02,17850,22.200000000000003
536611,2010-12-02,15752,259.65
536612,2010-12-02,17850,206.76000000000002
536613,2010-12-02,17855,208.97
536614,2010-12-02,17850,22.200000000000003
536615,2010-12-02,14047,286.92
536616,2010-12-02,17925,244.08
536617,2010-12-02,13941,1095.12
536618,2010-12-02,17017,780.12
536619,2010-12-02,17017,97.19999999999999
536620,2010-12-02,14135,485.25
536621,2010-12-02,13108,350.05999999999995
536623,2010-12-02,15601,768.3800000000001
536624,2010-12-02,13418,610.64
536626,2010-12-02,13418,12.600000000000001
536627,2010-12-02,15658,306.2
536628,2010-12-02,17850,230.55999999999997
536629,2010-12-02,17850,22.200000000000003
536630,2010-12-02,17850,244.45999999999998
536631,2010-12-02,17850,22.200000000000003
536632,2010-12-02,14388,312.79999999999995
536633,2010-12-02,14901,204.15
536634,2010-12-02,18041,193.78
536635,2010-12-02,15955,572.38
536636,2010-12-02,15070,106.2
536637,2010-12-02,18041,235.15999999999997
536638,2010-12-02,16244,1056.6299999999999
536639,2010-12-02,15111,288.5
536641,2010-12-02,12748,4.25
536643,2010-12-02,14390,223.7
536663,2010-12-02,16546,299.40000000000003
536667,2010-12-02,15260,362.5
536670,2010-12-02,15260,58.0
536671,2010-12-02,13305,136.2
536672,2010-12-02,14491,127.2
536673,2010-12-02,14060,339.84
536674,2010-12-02,15923,127.08000000000001
536676,2010-12-02,16752,207.5
536681,2010-12-02,17287,113.91999999999999
536685,2010-12-02,17850,380.46000000000004
536688,2010-12-02,17850,22.200000000000003
536690,2010-12-02,17850,331.26
536693,2010-12-02,17850,22.200000000000003
536698,2010-12-02,15363,326.0
536707,2010-12-02,12915,199.64999999999998
536732,2010-12-02,15544,354.53999999999996
536733,2010-12-02,15738,329.65000000000003
536735,2010-12-02,17381,211.2
536736,2010-12-02,17381,824.88
536738,2010-12-02,15827,98.18000000000002
536739,2010-12-02,14180,201.75
536740,2010-12-02,15827,92.75000000000001
536741,2010-12-02,13117,202.11999999999998
536742,2010-12-02,16916,198.07999999999998
536743,2010-12-02,17964,261.76
536744,2010-12-02,14466,379.74999999999994
536745,2010-12-02,17235,341.9
536746,2010-12-02,16510,248.10000000000002
536747,2010-12-02,17802,100.19999999999999
536748,2010-12-02,15107,116.0
536749,2010-12-02,17976,353.19000000000005
536750,2010-12-02,17850,434.8
536751,2010-12-02,17850,22.200000000000003
536752,2010-12-02,17850,390.65999999999997
536753,2010-12-02,17850,22.200000000000003
536754,2010-12-02,14449,210.24
536759,2010-12-02,16781,311.25
536761,2010-12-02,13491,98.9
536762,2010-12-02,16186,307.68000000000006
536763,2010-12-02,17685,452.52
536769,2010-12-02,17581,668.4
536771,2010-12-02,17581,118.38
536777,2010-12-02,15732,138.1
536778,2010-12-02,13138,193.23000000000002
536779,2010-12-02,15823,15.0
536781,2010-12-02,17460,50.400000000000006
536782,2010-12-02,17567,517.9499999999999
536783,2010-12-02,15061,4076.48
536784,2010-12-02,15061,2170.9
536785,2010-12-02,15061,2730.96
536786,2010-12-02,15061,324.0
536787,2010-12-02,17850,192.46
536788,2010-12-02,15061,75.0
536789,2010-12-02,17850,22.200000000000003
536790,2010-12-02,17850,532.01
536791,2010-12-02,17850,44.400000000000006
536792,2010-12-02,15061,30.0
536793,2010-12-02,16203,170.7
536794,2010-12-02,13767,322.79999999999995
536795,2010-12-02,15640,333.7199999999999
536796,2010-12-02,15574,375.65
536797,2010-12-02,16770,130.8
536798,2010-12-02,17838,717.1600000000002
536799,2010-12-02,17228,183.3
536800,2010-12-02,14829,236.96999999999997
536802,2010-12-02,17412,197.3
536803,2010-12-02,14911,22.5
536804,2010-12-02,14031,1714.25
536805,2010-12-02,14775,406.55999999999995
536806,2010-12-02,12971,45.120000000000005
536808,2010-12-02,17659,247.8
536809,2010-12-02,15299,1003.2
536810,2010-12-02,15299,303.96
536811,2010-12-02,15299,527.85
536813,2010-12-02,15646,189.8
536819,2010-12-02,13402,308.28
536821,2010-12-02,17757,143.45
536823,2010-12-02,13011,50.550000000000004
536824,2010-12-02,13798,408.0
536830,2010-12-02,16754,2002.4
536831,2010-12-02,16029,569.4
536832,2010-12-02,16634,164.8
536833,2010-12-02,18239,438.09999999999997
536834,2010-12-02,14576,35.400000000000006
536835,2010-12-02,13145,295.0
536836,2010-12-02,18168,263.29999999999995
536837,2010-12-02,14395,308.67999999999995
536838,2010-12-02,14865,37.2
536839,2010-12-02,15093,623.73
536840,2010-12-02,12738,155.35
536841,2010-12-02,16150,393.41999999999996
536842,2010-12-02,17552,263.62
536843,2010-12-02,17552,34.9
536844,2010-12-02,14236,189.3
536845,2010-12-02,17961,127.55000000000001
536846,2010-12-02,14573,413.09999999999997
536847,2010-12-03,17135,215.58
536848,2010-12-03,13408,534.0
536849,2010-12-03,17396,397.5
536851,2010-12-03,12967,1368.4
536852,2010-12-03,12686,89.14
536856,2010-12-03,13370,754.8700000000001
536857,2010-12-03,16883,128.02999999999997
536858,2010-12-03,13520,303.4
536859,2010-12-03,12841,294.25
536860,2010-12-03,16905,254.39999999999998
536861,2010-12-03,12427,303.5
536863,2010-12-03,17967,123.07
536874,2010-12-03,16891,232.26
536884,2010-12-03,14589,39.75
536890,2010-12-03,14156,322.2
536938,2010-12-03,14680,1680.8799999999999
536943,2010-12-03,17884,187.51000000000002
536944,2010-12-03,12557,620.0
536945,2010-12-03,14083,309.53999999999996
536946,2010-12-03,13013,841.9399999999999
536947,2010-12-03,13013,686.4
536954,2010-12-03,17809,425.0
536956,2010-12-03,14210,304.95
536957,2010-12-03,17809,791.7000000000002
536960,2010-12-03,16477,225.65
536967,2010-12-03,12600,76.5
536968,2010-12-03,16013,534.0
536969,2010-12-03,16013,528.0
536970,2010-12-03,17949,1314.0
536971,2010-12-03,12779,248.15999999999997
536972,2010-12-03,16926,230.25000000000003
536973,2010-12-03,17787,736.28
536974,2010-12-03,12682,336.24
536975,2010-12-03,14911,1705.6500000000003
536976,2010-12-03,14723,149.79999999999998
536977,2010-12-03,17954,108.78
536980,2010-12-03,17819,591.4699999999999
536981,2010-12-03,14723,101.13999999999999
536983,2010-12-03,12712,175.53
536984,2010-12-03,17841,339.5399999999999
536985,2010-12-03,15373,334.3
536986,2010-12-03,16140,124.14
536987,2010-12-03,17198,272.01
536988,2010-12-03,17238,254.39
536989,2010-12-03,17238,115.7
536990,2010-12-03,12793,131.8
536992,2010-12-03,15769,91.8
536993,2010-12-03,14396,110.35000000000001
536994,2010-12-03,14898,98.50000000000001
537022,2010-12-03,12725,427.8
537023,2010-12-03,16725,122.15
537026,2010-12-03,12395,346.09999999999997
537030,2010-12-03,16455,246.3
537031,2010-12-03,16455,135.0
537034,2010-12-03,13081,2355.1800000000003
537035,2010-12-03,13081,11.6
537036,2010-12-03,15545,135.32999999999998
537037,2010-12-05,17243,256.9
537038,2010-12-05,15465,535.75
537040,2010-12-05,13089,734.3999999999999
537041,2010-12-05,16033,155.63999999999996
537042,2010-12-05,13838,238.10999999999996
537044,2010-12-05,18055,431.45
537045,2010-12-05,15038,126.43
537046,2010-12-05,18109,277.45
537047,2010-12-05,13069,326.6
537048,2010-12-05,13069,5.9
537049,2010-12-05,16241,277.65
537050,2010-12-05,14800,555.84
537051,2010-12-05,15708,350.67999999999995
537052,2010-12-05,16839,552.24
537053,2010-12-05,16168,275.8
537054,2010-12-05,16931,152.04999999999998
537055,2010-12-05,16814,273.28999999999996
537057,2010-12-05,15351,274.67
537058,2010-12-05,13269,351.43000000000006
537059,2010-12-05,14813,127.98
537065,2010-12-05,12567,1526.92
537067,2010-12-05,14813,27.45
537077,2010-12-05,17062,179.64
537081,2010-12-05,15332,1145.06
537086,2010-12-05,15332,438.0
537090,2010-12-05,15332,15.0
537111,2010-12-05,14810,180.44000000000003
537117,2010-12-05,16353,204.0
537126,2010-12-05,18118,475.86
537127,2010-12-05,13831,408.0
537128,2010-12-05,12841,211.74
537129,2010-12-05,13506,301.11999999999995
537130,2010-12-05,17796,114.65
537131,2010-12-05,15716,547.0999999999999
537133,2010-12-05,18156,206.23
537134,2010-12-05,16983,163.49
537135,2010-12-05,17059,722.3599999999999
