CustomerID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMCell,RFMScore
12346,326,1,77183.6,1,1,5,"1,1,5",2.3333333333333335
12347,3,7,4310.0,5,5,5,"5,5,5",5.0
12348,76,4,1797.24,2,4,4,"2,4,4",3.3333333333333335
12349,19,1,1757.5500000000002,4,1,4,"4,1,4",3.0
12350,311,1,334.40000000000003,1,1,2,"1,1,2",1.3333333333333333
12352,37,8,2506.04,3,5,5,"3,5,5",4.333333333333333
12353,205,1,89.0,1,1,1,"1,1,1",1.0
12354,233,1,1079.4,1,1,4,"1,1,4",2.0
12355,215,1,459.4,1,1,2,"1,1,2",1.3333333333333333
12356,23,3,2811.4300000000003,4,3,5,"4,3,5",4.0
12357,34,1,6207.67,3,1,5,"3,1,5",3.0
12358,2,2,1168.06,5,2,4,"5,2,4",3.6666666666666665
12359,58,4,6372.58,3,4,5,"3,4,5",4.0
12360,53,3,2662.06,3,3,5,"3,3,5",3.6666666666666665
12361,288,1,189.9,1,1,1,"1,1,1",1.0
12362,4,10,5226.2300000000005,5,5,5,"5,5,5",5.0
12363,110,2,552.0,2,2,3,"2,2,3",2.3333333333333335
12364,8,4,1313.1,5,4,4,"5,4,4",4.333333333333333
12365,292,2,641.3799999999999,1,2,3,"1,2,3",2.0
12367,5,1,168.89999999999998,5,1,1,"5,1,1",2.3333333333333335
12370,52,4,3545.6899999999996,3,4,5,"3,4,5",4.0
12371,45,2,1887.96,3,2,4,"3,2,4",3.0
12372,72,3,1298.04,3,3,4,"3,3,4",3.3333333333333335
12373,312,1,364.6,1,1,2,"1,1,2",1.3333333333333333
12374,26,1,742.93,4,1,3,"4,1,3",2.6666666666666665
12375,11,2,457.5,5,2,2,"5,2,2",3.0
12377,316,2,1628.12,1,2,4,"1,2,4",2.3333333333333335
12378,130,1,4008.62,2,1,5,"2,1,5",2.6666666666666665
12379,82,2,852.24,2,2,3,"2,2,3",2.3333333333333335
12380,22,4,2724.81,4,4,5,"4,4,5",4.333333333333333
12381,5,5,1845.31,5,4,4,"5,4,4",4.333333333333333
12383,185,5,1850.56,1,4,4,"1,4,4",3.0
12384,29,2,585.27,4,2,3,"4,2,3",3.0
12386,338,2,401.9,1,2,2,"1,2,2",1.6666666666666667
12388,16,6,2780.6600000000003,4,4,5,"4,4,5",4.333333333333333
12390,80,1,549.84,2,1,3,"2,1,3",2.0
12391,22,1,460.89,4,1,2,"4,1,2",2.3333333333333335
12393,73,4,1582.6,2,4,4,"2,4,4",3.3333333333333335
12394,64,2,1272.48,3,2,4,"3,2,4",3.0
12395,20,12,3018.63,4,5,5,"4,5,5",4.666666666666667
12397,36,2,2409.8999999999996,3,2,5,"3,2,5",3.3333333333333335
12398,46,1,1635.66,3,1,4,"3,1,4",2.6666666666666665
12399,120,4,1108.6499999999999,2,4,4,"2,4,4",3.3333333333333335
12401,304,1,84.3,1,1,1,"1,1,1",1.0
12402,324,1,225.6,1,1,1,"1,1,1",1.0
12403,50,1,427.7,3,1,2,"3,1,2",2.0
12405,149,1,1710.3900000000003,2,1,4,"2,1,4",2.3333333333333335
12406,23,2,3415.3,4,2,5,"4,2,5",3.6666666666666665
12407,50,5,1708.12,3,4,4,"3,4,4",3.6666666666666665
12408,33,5,2888.55,4,4,5,"4,4,5",4.333333333333333
12409,79,3,11072.670000000002,2,3,5,"2,3,5",3.3333333333333335
12410,309,2,693.3299999999999,1,2,3,"1,2,3",2.0
12412,75,3,1226.88,2,3,4,"2,3,4",3.0
12413,67,3,758.1,3,3,3,"3,3,3",3.0
12414,218,3,562.4100000000001,1,3,3,"1,3,3",2.3333333333333335
12415,25,21,124914.53,4,5,5,"4,5,5",4.666666666666667
12417,4,9,3649.1,5,5,5,"5,5,5",5.0
